title,date
«Глобальные и национальные тренды в сфере экономики труда и управления человеческими ресурсами»: в Плехановском университете подвели итоги V Международной научной конференции,2025-12
Прорыв кондитерского производства: эксперты Плехановского университета выступили на выездном семинаре,2025-12
На Стратегической сессии в Плехановском университете обсудили социально-экономическое развитие ДНР,2025-12
Плехановцы изучили потенциал агент-ориентированного моделирования на встрече с директором ЦЭМИ РАН Альбертом Бахтизиным,2025-12
Учёные Плехановского университета создали программный пакет для анализа сложный сетей мозга и социальных взаимодействий,2025-12
Формирование университетов как центров технологического лидерства: эксперты Плехановки представили результаты исследования на семинаре научного общества  «Экономическая инициатива»,2025-12
Экспедиция в мир науки: в Плехановском университете стартовала VI Школа Студенческого научного общества,2025-12
Эксперты Плехановки представили инновационные подходы к подготовке ИТ-специалистов топ-уровня на Международном конгрессе в МГУ,2025-12
Плехановские учёные — победители грантового конкурса РНФ на проведение исследований малыми научными коллективами,2025-12
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2025-12
«Применение цифровых технологий в медицине»: в Плехановском университете подвели итоги III Школы молодых учёных,2025-12
Эксперт Плехановского университета о ключевых трендах и вызовах биоэкономики на международном форуме «Грейнтек»,2025-12
Плехановский университет – на V Конгрессе молодых учёных,2025-11
Плехановские учёные разработали способ ускорения разложения полиэтилена в почве за счёт введения инициатора биодеградации,2025-11
Применение цифровых технологий в медицине: в Плехановском университете стартовала III Школа молодых учёных,2025-11
Наука без границ: учёные из Омана и Индии договорились о проведении совместных исследований в области искусственного интеллекта с Центром перспективных исследований в сфере ИИ Плехановского университета,2025-11
«Экономика и инновации»: в Плехановском университете подвели итоги межвузовской научно-практической конференции,2025-11
Учёные Плехановского университета предложили новый подход к оценке качества данных для внедрения ИИ в производство,2025-11
"Развитие биоэкономики, технологическое лидерство: Плехановский университет в четвертый раз вошёл в число вузов-участников программы «Приоритет»",2025-11
«Формирование университетов как центров технологического лидерства»: новый выпуск аналитического сборника Плехановского университета,2025-11
Лучшие практики автоматизации бизнеса: индустриальный партнёр BPMSoft провёл лекцию для плехановцев,2025-11
Старший научный сотрудник Плехановки Виктор Китов — дипломант Всероссийского конкурса по искусственному интеллекту RUCODE-2025,2025-11
Как ИИ трансформирует науку и образование: секция Профессорского форума в Плехановском университете,2025-11
В Плехановском университете ведущие экономисты страны обсудили вызовы нового времени и роль науки в достижении национальных целей на секции «Экономические науки» Профессорского форума,2025-11
«Экономика и инновации»: второй день межвузовской конференции в РЭУ,2025-11
"Плехановские учёные разработали способ анализа активности головного мозга в комбинации с применением технологий ИИ, который поможет выявить нарушения",2025-11
«Экономика и инновации»: в Плехановском университете продолжается студенческая межвузовская научно-практическая конференция,2025-11
Плехановский университет представил свои достижения в области подготовки ИТ-специалистов топ-уровня на отраслевой конференции  ViRush,2025-11
На заседании расширенного ректората Плехановского университета проанализировали рекордные результаты Приёмной кампании 2025 года,2025-11
Стратегия будущего: в Плехановском университете определят векторы развития науки и образования на Восьмом Профессорском форуме,2025-11
«Экономическая книга года»: монография «Современная биоэкономика: проблемы подготовки кадров» эксперта Плехановского университета – в финале конкурса,2025-11
III Школа молодых учёных: Плехановский университет и РНФ расскажут о применении цифровых технологий в медицине,2025-11
Делегация Плехановского университета — на юбилейном съезде Вольного экономического общества в Кремлёвском Дворце,2025-11
«От научных идей к стратегии бизнес-развития»: итоги Всероссийской конференции в Плехановском университете,2025-11
Минобрнауки России и РЭУ им. Г.В. Плеханова провели открытый вебинар по аттестации научных кадров,2025-11
О науке увлекательно: молодые учёные Плехановки представляют свои исследования на научной битве «Science Slam 2025»,2025-11
Трансформация АПК для достижения национальных целей развития: научная работа плехановских учёных,2025-11
Глубокие знания и аналитический подход: эксперты Плехановки – в жюри конкурса студенческих работ компании Loginom,2025-11
«Наука и компьютерные технологии в моей будущей профессии»: кейсы студентов Плехановки по искусственному интеллекту признаны лучшими на межвузовском конкурсе,2025-11
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2025-11
